"ori_node","des_node","ori_layer","des_layer","minutes","km"
   325, 31793,1,1,  7,  0.707
   338, 36564,1,1,  7,  0.920
   348, 46689,1,1,  5,  0.439
   601, 44530,1,1,495,164.555
   601, 44678,1,1,465,212.353
   640, 63374,1,1, 25,  5.761
   640,154822,1,1, 95, 26.984
   640,159082,1,1, 75, 22.354
   640,172285,1,1, 85, 27.194
   640,195512,1,1,110, 37.982
   640,223150,1,1, 85, 29.678
   640,254019,1,1,160, 50.511
   647,  3360,1,1,300,136.733
   647, 10034,1,1, 55, 15.674
   647, 17220,1,1,210, 81.959
   647, 25782,1,1,320,138.303
   647,169504,1,1, 60, 11.010
   647,213318,1,1,145, 58.298
   647,236882,1,1,160, 68.145
  1317,206589,1,1, 15,  2.454
  1435,136004,1,1, 20,  4.625
  2068, 10116,1,1,  7,  1.118
  2068, 65590,1,1,150, 36.730
  2097, 43789,1,1,  5,  0.960
  2097, 46521,1,1, 60,  4.855
  2400,  2400,1,1,  1,  0.000
  2400, 47257,1,1, 60, 17.229
  2676, 14575,1,1,  5,  1.483
  3360,   647,1,1,300,136.733
  3360, 17220,1,1,175, 64.869
  3360, 25782,1,1,100, 24.669
  3886, 50588,1,1,  7,  0.746
  3891,  7033,1,1, 15,  4.055
  4014, 18035,1,1,  5,  0.904
  4014, 45305,1,1,135, 39.030
  4014,213318,1,1, 80, 25.059
  4026, 26110,1,1, 35,  5.552
  4802, 16172,1,1,  7,  0.634
  4936, 35982,1,1,100, 39.543
  4936,196305,1,1,105, 46.491
  5856,  5856,1,1,  5,  0.000
  5868, 12105,1,1, 30,  6.006
  6490, 35738,1,1,175, 79.912
  6626,  6626,1,1,  1,  0.000
  6626, 16735,1,1, 60, 11.635
  7033,  3891,1,1, 15,  4.055
  7082, 22455,1,1, 10,  1.737
  7082, 35446,1,1, 10,  2.026
  7261,  7269,1,1, 15,  1.469
  7261, 37413,1,1, 30,  6.805
  7261, 40100,1,1, 40,  9.660
  7262, 21667,1,1,  5,  0.278
  7269,  7261,1,1, 15,  1.469
  7269,169318,1,1, 10,  0.515
  7351, 25717,1,1, 14,  2.710
  7550,  7550,1,1,  1,  0.000
  7550, 20402,1,1,  2,  0.355
  7550, 31423,1,1,  6,  0.577
  8515, 12836,1,1,  5,  0.302
  9907, 13210,1,1, 30,  6.983
  9907, 18173,1,1, 25,  5.858
 10034,   647,1,1, 46, 15.674
 10034, 10034,1,1,  1,  0.000
 10116,  2068,1,1,  7,  1.118
 10568, 13816,1,1, 20,  3.963
 10568, 38692,1,1,  4,  0.733
 10976, 35510,1,1, 10,  6.939
 11816, 30088,1,1, 40,  7.603
 11816, 77734,1,1, 90, 26.813
 11816, 89571,1,1, 45,  9.484
 11816,145871,1,1, 85, 23.132
 11816,191906,1,1,110, 30.748
 11944, 11944,1,1,  5,  0.000
 12105,  5868,1,1, 30,  6.006
 12417, 12417,1,1,  1,  0.000
 12417,195774,1,1, 10,  1.551
 12419, 39848,1,1, 15,  3.256
 12836,  8515,1,1,  5,  0.302
 12958, 45549,1,1, 10,  1.969
 12958, 50703,1,1, 25,  5.976
 13210,  9907,1,1, 30,  6.983
 13210, 18173,1,1, 12,  2.496
 13210, 22887,1,1, 23,  6.738
 13745,  2676,1,1, 15,  6.915
 13745, 35082,1,1,  5,  1.483
 13745, 35743,1,1,  5,  1.569
 13816, 10568,1,1, 20,  3.963
 14552, 25714,1,1,  5,  0.392
 14575,  2676,1,1,  5,  1.483
 14575, 35743,1,1, 15,  3.962
 14594,173306,1,1, 35,  7.480
 14676, 15801,1,1,  5,  0.483
 15801, 14676,1,1,  5,  0.483
 16172,  4802,1,1,  7,  0.634
 16261, 46539,1,1,120, 41.746
 16552, 31793,1,1, 40, 10.609
 16691,149855,1,1, 10,  1.243
 16691,220428,1,1, 10,  2.348
 16735,  6626,1,1, 60, 11.635
 16735, 16735,1,1,  1,  0.000
 17051, 46758,1,1, 20,  4.183
 17220,   647,1,1,210, 81.959
 17220,  3360,1,1,175, 64.869
 17220,236882,1,1, 65, 20.559
 17353, 32521,1,1, 10,  1.334
 17863,247765,1,1,160, 41.551
 18035,  4014,1,1,  5,  0.904
 18086,173306,1,1, 20,  4.928
 18131, 29884,1,1, 35, 11.105
 18173,  9907,1,1, 25,  5.858
 18173, 13210,1,1, 12,  2.496
 19330, 43789,1,1, 20,  2.389
 19330,131381,1,1, 60,  5.279
 19700, 19700,1,1,  1,  0.000
 19700, 20398,1,1,  2,  0.356
 19705, 49282,1,1, 65, 21.108
 20070, 20070,1,1,  5,  0.000
 20398, 19700,1,1,  3,  0.356
 20398, 20398,1,1,  1,  0.000
 20398, 20404,1,1,  4,  0.383
 20402,  7550,1,1,  3,  0.355
 20402, 40101,1,1,  5,  0.831
 20404, 20398,1,1,  3,  0.383
 20404, 31423,1,1,  5,  0.716
 20404, 35833,1,1, 10,  0.753
 21179,145653,1,1,  5,  0.270
 21180, 48348,1,1, 10,  2.050
 21667,  7262,1,1,  5,  0.278
 22296, 74309,1,1, 30,  7.872
 22455,  7082,1,1, 10,  1.737
 22455, 35446,1,1, 10,  1.681
 22552, 45964,1,1,  5,  0.608
 22564, 65725,1,1, 15,  3.288
 22887, 13210,1,1, 23,  6.738
 24326, 44675,1,1,  4,  0.588
 25714, 14552,1,1,  5,  0.392
 25714, 65725,1,1, 15,  0.794
 25717,  7351,1,1, 14,  2.710
 25717, 35082,1,1,  4,  0.814
 25717, 35743,1,1,  7,  1.967
 25717, 69428,1,1, 15,  1.583
 25782,   647,1,1,320,138.303
 25782,  3360,1,1,100, 24.669
 26110,  4026,1,1, 35,  5.552
 26125, 45031,1,1, 30,  7.210
 27197, 35743,1,1,  5,  0.725
 27197, 41825,1,1, 90, 11.393
 27197, 69428,1,1, 20,  3.467
 27960, 27960,1,1,  1,  0.000
 27960, 31714,1,1, 40,  9.015
 27996,184939,1,1, 35,  9.296
 27996,203551,1,1, 35,  9.343
 28819, 28819,1,1,  1,  0.000
 28819, 40792,1,1, 60, 24.393
 29884, 18131,1,1, 35, 11.105
 30088, 11816,1,1, 30,  7.603
 30866, 65590,1,1, 90, 21.460
 31423,  7550,1,1,  7,  0.577
 31423, 20404,1,1,  5,  0.716
 31423, 35833,1,1,  5,  0.430
 31714, 27960,1,1, 40,  9.015
 31714, 31714,1,1,  1,  0.000
 31793,   325,1,1,  7,  0.707
 31793, 16552,1,1, 40, 10.609
 31793, 35510,1,1, 22,  7.748
 32521, 17353,1,1, 10,  1.334
 32526, 93405,1,1, 25,  4.867
 33547, 47257,1,1, 15,  2.740
 34497,100497,1,1, 25,  5.660
 34497,102766,1,1, 70,  5.698
 34514, 36391,1,1,  5,  0.424
 34760,152298,1,1,  4,  0.329
 35082, 13745,1,1,  5,  1.483
 35082, 25717,1,1,  4,  0.814
 35082, 35743,1,1,  9,  2.695
 35082, 36665,1,1, 10,  3.847
 35082, 42918,1,1,  4,  0.888
 35446,  7082,1,1, 10,  2.026
 35446, 22455,1,1, 10,  1.681
 35510, 10976,1,1, 10,  6.939
 35510, 31793,1,1, 22,  7.748
 35738,  6490,1,1,175, 79.912
 35738, 35738,1,1,  1,  0.000
 35743, 13745,1,1,  5,  1.569
 35743, 14575,1,1, 15,  3.962
 35743, 51076,1,1,  3,  0.596
 35743, 93787,1,1,  5,  0.516
 35833, 20404,1,1, 10,  0.753
 35833, 31423,1,1,  3,  0.430
 35982,  4936,1,1, 95, 39.543
 35982,196305,1,1,100, 42.588
 36391, 34514,1,1,  5,  0.424
 36564,   338,1,1,  7,  0.920
 36665, 35082,1,1, 10,  3.847
 36665, 36665,1,1,  2,  0.000
 36665, 42918,1,1,  9,  3.432
 36665, 47420,1,1,  4,  1.893
 36665,112357,1,1,  3,  1.104
 36665,171912,1,1,  7,  2.711
 37413,  7261,1,1, 30,  6.805
 38692, 10568,1,1,  4,  0.733
 39848, 12419,1,1, 15,  3.256
 40094,173306,1,1, 50, 13.522
 40100,  7261,1,1, 40,  9.660
 40101, 20402,1,1,  5,  0.831
 40792, 28819,1,1, 59, 24.393
 41825, 27197,1,1, 90, 11.393
 41825,131381,1,1, 30,  5.116
 42918, 35082,1,1,  4,  0.888
 42918, 36665,1,1,  9,  3.432
 43789,  2097,1,1,  5,  0.960
 43789, 19330,1,1, 30,  2.389
 44530,   601,1,1,360,164.555
 44530, 44678,1,1,750,339.478
 44675, 24326,1,1,  4,  0.588
 44678,   601,1,1,390,212.353
 44678, 44530,1,1,780,339.478
 45031, 26125,1,1, 30,  7.210
 45305,  4014,1,1,135, 39.030
 45305, 49692,1,1,150, 48.430
 45508, 89554,1,1, 30,  4.666
 45508,171049,1,1, 45,  6.861
 45549, 12958,1,1, 10,  1.969
 45549, 50703,1,1, 25,  6.369
 45964, 22552,1,1,  5,  0.608
 46521,  2097,1,1, 60,  4.855
 46539, 16261,1,1,120, 41.746
 46539,145870,1,1, 15,  4.046
 46539,210725,1,1, 25,  5.459
 46632,220429,1,1,  5,  0.617
 46689,   348,1,1,  5,  0.439
 46758, 17051,1,1, 20,  4.183
 46973, 47030,1,1,  5,  0.940
 47030, 46973,1,1,  5,  0.940
 47257,  2400,1,1, 60, 17.229
 47257, 33547,1,1, 15,  2.740
 47257, 47788,1,1, 23, 16.596
 47420,112357,1,1,  3,  0.960
 47420,171912,1,1,  3,  1.053
 47788, 47257,1,1, 23, 16.596
 48348, 21180,1,1, 10,  2.050
 49282, 19705,1,1, 65, 21.108
 49692, 45305,1,1,150, 48.430
 50305, 50305,1,1,  5,  0.000
 50588,  3886,1,1,  7,  0.746
 50703, 12958,1,1, 25,  5.976
 50703, 45549,1,1, 20,  6.369
 51076, 13745,1,1,  7,  1.570
 51076, 25717,1,1,  8,  1.758
 51076, 35082,1,1, 11,  2.376
 52068,212228,1,1,  5,  0.269
 63289, 96301,1,1, 10,  0.848
 63374,   640,1,1, 25,  5.761
 65590,  2068,1,1,150, 36.730
 65590, 30866,1,1, 90, 21.460
 65725, 22564,1,1, 35,  3.288
 65725, 25714,1,1, 15,  0.794
 69428, 27197,1,1, 25,  3.467
 69428,171912,1,1, 40,  5.061
 74309, 22296,1,1, 30,  7.872
 77734, 11816,1,1, 90, 26.813
 77734,113051,1,1, 65, 14.060
 77734,145871,1,1, 70, 17.155
 89554, 45508,1,1, 30,  4.666
 89571, 11816,1,1, 60,  9.484
 93405, 32526,1,1, 25,  4.867
 93405,209749,1,1, 35,  6.046
 93787, 25717,1,1,  5,  1.474
 96301, 63289,1,1, 10,  0.848
100497, 34497,1,1, 35,  5.660
100497,102766,1,1, 10,  0.991
100497,240986,1,1, 20,  3.754
102766, 34497,1,1, 35,  5.698
102766,100497,1,1, 10,  0.991
102766,240986,1,1, 20,  3.830
104347,187812,1,1, 10,  1.229
112357, 36665,1,1,  4,  1.104
112357, 47420,1,1,  3,  0.960
112357,171912,1,1,  5,  1.974
113051, 77734,1,1, 65, 14.060
113051,191906,1,1,105, 29.402
131381, 19330,1,1, 90,  5.279
131381, 41825,1,1, 30,  5.116
132497,189458,1,1,160, 60.374
136004,  1435,1,1, 20,  4.625
142777,171912,1,1,  8,  2.362
145653, 21179,1,1,  5,  0.270
145870, 46539,1,1, 15,  4.046
145870,210725,1,1, 10,  3.047
145871, 11816,1,1, 85, 23.132
145871, 77734,1,1, 70, 17.155
145871,191906,1,1, 45,  7.617
149855, 16691,1,1, 10,  1.243
